chr,start,end,gene_id,gene_type,gene_name
1,879584,894689,ENSG00000188976.6,protein_coding,NOC2L
1,895967,901095,ENSG00000187961.7,protein_coding,KLHL17
1,901877,911245,ENSG00000187583.5,protein_coding,PLEKHN1
1,910579,917497,ENSG00000187642.5,protein_coding,C1orf170
1,934342,935552,ENSG00000188290.6,protein_coding,HES4
1,948803,949920,ENSG00000187608.5,protein_coding,ISG15
1,955503,991496,ENSG00000188157.8,protein_coding,AGRN
1,1007126,1009687,ENSG00000237330.1,protein_coding,RNF223
1,1017198,1051741,ENSG00000131591.12,protein_coding,C1orf159
1,1072397,1079436,ENSG00000223823.1,lincRNA,RP11-465B22.5
1,1109264,1133315,ENSG00000162571.9,protein_coding,TTLL10
1,1138888,1142071,ENSG00000186891.9,protein_coding,TNFRSF18
1,1146706,1149518,ENSG00000186827.6,protein_coding,TNFRSF4
1,1152288,1167411,ENSG00000078808.11,protein_coding,SDF4
1,1167629,1170421,ENSG00000176022.3,protein_coding,B3GALT6
1,1177826,1182102,ENSG00000184163.3,protein_coding,FAM132A
1,1185157,1186714,ENSG00000260179.1,lincRNA,RP5-902P8.12
1,1189289,1209265,ENSG00000160087.16,protein_coding,UBE2J2
1,1214447,1227409,ENSG00000162572.14,protein_coding,SCNN1D
1,1227756,1244989,ENSG00000131584.13,protein_coding,ACAP3
1,1243947,1247057,ENSG00000169972.7,protein_coding,PUSL1
1,1246965,1260071,ENSG00000127054.12,protein_coding,CPSF3L
1,1260136,1264277,ENSG00000224051.2,protein_coding,GLTPD1
1,1266694,1270686,ENSG00000169962.4,protein_coding,TAS1R3
1,1270656,1284760,ENSG00000107404.12,protein_coding,DVL1
1,1288069,1297157,ENSG00000162576.10,protein_coding,MXRA8
1,1309110,1310875,ENSG00000175756.8,protein_coding,AURKAIP1
1,1321091,1334708,ENSG00000221978.6,protein_coding,CCNL2
1,1334902,1337426,ENSG00000224870.3,protein_coding,RP4-758J18.2
1,1337288,1342693,ENSG00000242485.1,protein_coding,MRPL20
1,1353800,1357149,ENSG00000235098.4,protein_coding,ANKRD65
1,1361508,1363167,ENSG00000205116.3,protein_coding,TMEM88B
1,1363502,1365635,ENSG00000236239.1,lincRNA,RP4-758J18.9
1,1365919,1369953,ENSG00000225285.1,lincRNA,RP4-758J18.10
1,1370241,1378262,ENSG00000179403.10,protein_coding,VWA1
1,1385069,1405538,ENSG00000215915.5,protein_coding,ATAD3C
1,1407143,1433228,ENSG00000160072.12,protein_coding,ATAD3B
1,1447531,1470067,ENSG00000197785.8,protein_coding,ATAD3A
1,1470554,1475833,ENSG00000205090.4,protein_coding,TMEM240
1,1477053,1510249,ENSG00000160075.9,protein_coding,SSU72
1,1510355,1511373,ENSG00000215014.3,protein_coding,AL645728.1
1,1533392,1535476,ENSG00000228594.1,protein_coding,C1orf233
1,1550795,1565990,ENSG00000197530.8,protein_coding,MIB2
1,1567474,1570639,ENSG00000189409.7,protein_coding,MMP23B
1,1592939,1624167,ENSG00000189339.7,protein_coding,SLC35E2B
1,1634169,1655966,ENSG00000008128.15,protein_coding,CDK11A
1,1656054,1663343,ENSG00000227775.1,lincRNA,RP1-283E3.3
1,1656277,1677431,ENSG00000215790.2,protein_coding,SLC35E2
1,1682671,1711896,ENSG00000008130.10,protein_coding,NADK
1,1716725,1822502,ENSG00000078369.9,protein_coding,GNB1
1,1846266,1848735,ENSG00000169885.5,protein_coding,CALML6
1,1849029,1850712,ENSG00000178821.7,protein_coding,TMEM52
1,1853396,1935276,ENSG00000142609.12,protein_coding,C1orf222
1,1950780,1962192,ENSG00000187730.6,protein_coding,GABRD
1,1981909,2116834,ENSG00000067606.11,protein_coding,PRKCZ
1,2115903,2144159,ENSG00000162585.11,protein_coding,C1orf86
1,2143360,2145620,ENSG00000203301.2,protein_coding,AL590822.1
1,2160134,2241558,ENSG00000157933.9,protein_coding,SKI
1,2252692,2323146,ENSG00000116151.8,protein_coding,MORN1
1,2323267,2335190,ENSG00000157916.12,protein_coding,RER1
1,2336236,2345236,ENSG00000157911.5,protein_coding,PEX10
1,2357419,2362089,ENSG00000229813.1,lincRNA,RP4-740C4.4
1,2398898,2436969,ENSG00000149527.10,protein_coding,PLCH2
1,2439972,2458039,ENSG00000157881.8,protein_coding,PANK4
1,2460184,2461684,ENSG00000197921.5,protein_coding,HES5
1,2481359,2488470,ENSG00000238164.2,lincRNA,RP3-395M20.8
1,2487078,2497061,ENSG00000157873.11,protein_coding,TNFRSF14
1,2517930,2522908,ENSG00000157870.9,protein_coding,FAM213B
1,2522078,2564481,ENSG00000142606.10,protein_coding,MMEL1
1,2567415,2706280,ENSG00000215912.6,protein_coding,TTC34
1,2728415,2729257,ENSG00000233234.1,lincRNA,RP11-740P5.2
1,2730997,2731563,ENSG00000231630.1,lincRNA,RP11-740P5.3
1,2938046,2939465,ENSG00000169717.4,protein_coding,ACTRT2
1,2985732,3355185,ENSG00000142611.10,protein_coding,PRDM16
1,3370990,3397677,ENSG00000130762.10,protein_coding,ARHGEF16
1,3406484,3528059,ENSG00000162591.10,protein_coding,MEGF6
1,3541566,3546691,ENSG00000158109.9,protein_coding,TPRG1L
1,3547331,3569325,ENSG00000116213.10,protein_coding,WRAP73
1,3569084,3652765,ENSG00000078900.9,protein_coding,TP73
1,3652548,3663900,ENSG00000227372.4,lincRNA,TP73-AS1
1,3652739,3654439,ENSG00000244553.1,lincRNA,RP5-1092A11.3
1,3668962,3688208,ENSG00000162592.3,protein_coding,CCDC27
1,3689352,3692546,ENSG00000235169.3,protein_coding,RP1-286D6.2
1,3696784,3713068,ENSG00000130764.5,protein_coding,LRRC47
1,3728645,3773778,ENSG00000116198.8,protein_coding,CEP104
1,3773845,3801993,ENSG00000169598.10,protein_coding,DFFB
1,3805689,3816857,ENSG00000198912.6,protein_coding,C1orf174
1,3816936,3833789,ENSG00000236423.1,lincRNA,RP13-15E13.1
1,4000673,4015322,ENSG00000233304.1,lincRNA,RP13-614K11.1
1,4007209,4009040,ENSG00000226374.1,lincRNA,RP13-614K11.2
1,4472111,4484747,ENSG00000235054.1,lincRNA,RP5-1166F10.1
1,4611795,4612205,ENSG00000227169.1,lincRNA,RP1-37J18.1
1,4631608,4643481,ENSG00000232596.1,lincRNA,RP1-37J18.2
1,4714792,4843850,ENSG00000196581.5,protein_coding,AJAP1
1,5146519,5150959,ENSG00000231510.1,lincRNA,RP11-542C10.1
1,5553038,5554734,ENSG00000260972.1,lincRNA,RP1-58B11.1
1,5647428,5728355,ENSG00000236948.1,lincRNA,RP11-154H17.1
1,5922871,6052533,ENSG00000131697.12,protein_coding,NPHP4
1,6051526,6161253,ENSG00000069424.8,protein_coding,KCNAB2
1,6161853,6240183,ENSG00000116254.11,protein_coding,CHD5
1,6241329,6269449,ENSG00000116251.5,protein_coding,RPL22
1,6265535,6281359,ENSG00000158286.8,protein_coding,RNF207
1,6281252,6296032,ENSG00000116237.9,protein_coding,ICMT
1,6304252,6305638,ENSG00000173673.7,protein_coding,HES3
1,6307406,6321035,ENSG00000158292.6,protein_coding,GPR153
1,6324333,6454451,ENSG00000097021.14,protein_coding,ACOT7
1,6472478,6484730,ENSG00000069812.7,protein_coding,HES2
1,6484848,6521430,ENSG00000187017.10,protein_coding,ESPN
1,6521211,6526255,ENSG00000215788.5,protein_coding,TNFRSF25
1,6526152,6580121,ENSG00000171680.14,protein_coding,PLEKHG5
1,6581407,6614595,ENSG00000162408.10,protein_coding,NOL9
1,6615241,6639817,ENSG00000173662.14,protein_coding,TAS1R1
1,6640061,6649340,ENSG00000204859.6,protein_coding,ZBTB48
1,6650784,6674667,ENSG00000162413.11,protein_coding,KLHL21
1,6673745,6684093,ENSG00000116273.5,protein_coding,PHF13
1,6684926,6695646,ENSG00000041988.10,protein_coding,THAP3
1,6694228,6761984,ENSG00000007923.11,protein_coding,DNAJC11
1,6784697,6790072,ENSG00000228750.1,lincRNA,RP11-242F24.1
1,6845384,7827916,ENSG00000171735.12,protein_coding,CAMTA1
1,7831329,7841492,ENSG00000049245.8,protein_coding,VAMP3
1,7844380,7905237,ENSG00000049246.8,protein_coding,PER3
1,7903143,7913572,ENSG00000049247.8,protein_coding,UTS2
1,7979907,8000926,ENSG00000049249.4,protein_coding,TNFRSF9
1,8014351,8045565,ENSG00000116288.8,protein_coding,PARK7
1,8064464,8086368,ENSG00000116285.8,protein_coding,ERRFI1
1,8086798,8182762,ENSG00000238290.1,lincRNA,RP11-431K24.1
1,8268732,8275270,ENSG00000227634.1,lincRNA,RP11-431K24.3
1,8278250,8280589,ENSG00000233645.1,lincRNA,RP11-431K24.4
1,8377886,8404227,ENSG00000162426.10,protein_coding,SLC45A1
1,8412457,8877702,ENSG00000142599.13,protein_coding,RERE
1,8865919,8867110,ENSG00000228423.1,lincRNA,RP4-633I8.4
1,8921061,8939308,ENSG00000074800.8,protein_coding,ENO1
1,9005922,9035151,ENSG00000131686.7,protein_coding,CA6
1,9063359,9086404,ENSG00000197241.3,protein_coding,SLC2A7
1,9095166,9148537,ENSG00000142583.11,protein_coding,SLC2A5
1,9160364,9189250,ENSG00000180758.9,protein_coding,GPR157
1,9228327,9262678,ENSG00000228526.1,lincRNA,RP3-510D11.1
1,9242271,9243855,ENSG00000234546.1,lincRNA,RP3-510D11.2
1,9294863,9331396,ENSG00000049239.7,protein_coding,H6PD
1,9352939,9429591,ENSG00000171621.9,protein_coding,SPSB1
1,9561151,9563530,ENSG00000235263.1,lincRNA,RP13-392I16.1
1,9599541,9642831,ENSG00000171612.5,protein_coding,SLC25A33
1,9648932,9674935,ENSG00000188807.8,protein_coding,TMEM201
1,9711790,9789172,ENSG00000171608.9,protein_coding,PIK3CD
1,9712668,9714644,ENSG00000179840.5,protein_coding,C1orf200
1,9739858,9747632,ENSG00000231789.1,lincRNA,RP11-558F24.4
1,9789084,9884584,ENSG00000171603.11,protein_coding,CLSTN1
1,9908334,9970394,ENSG00000178585.10,protein_coding,CTNNBIP1
1,9982171,10003465,ENSG00000162441.6,protein_coding,LZIC
1,10003486,10045559,ENSG00000173614.9,protein_coding,NMNAT1
1,10057264,10076078,ENSG00000162444.10,protein_coding,RBP7
1,10092890,10241297,ENSG00000130939.13,protein_coding,UBE4B
1,10270764,10441661,ENSG00000054523.11,protein_coding,KIF1B
1,10458649,10480233,ENSG00000142657.14,protein_coding,PGD
1,10490159,10512210,ENSG00000175279.14,protein_coding,APITD1
1,10490159,10512210,ENSG00000251503.2,protein_coding,APITD1-CORT
1,10509776,10511959,ENSG00000241563.2,protein_coding,CORT
1,10516579,10532583,ENSG00000160049.6,protein_coding,DFFA
1,10532345,10690815,ENSG00000142655.7,protein_coding,PEX14
1,10696661,10856707,ENSG00000130940.9,protein_coding,CASZ1
1,11006528,11042094,ENSG00000175262.9,protein_coding,C1orf127
1,11072414,11085796,ENSG00000120948.10,protein_coding,TARDBP
1,11086580,11107290,ENSG00000009724.12,protein_coding,MASP2
1,11114641,11120081,ENSG00000116649.4,protein_coding,SRM
1,11126675,11159938,ENSG00000171824.9,protein_coding,EXOSC10
1,11166592,11322608,ENSG00000198793.7,protein_coding,MTOR
1,11249398,11256038,ENSG00000171819.4,protein_coding,ANGPTL7
1,11333263,11356106,ENSG00000120942.8,protein_coding,UBIAD1
1,11539223,11597641,ENSG00000204624.6,protein_coding,PTCHD2
1,11669588,11673412,ENSG00000235643.1,lincRNA,RP1-69M21.2
1,11708424,11715842,ENSG00000116661.8,protein_coding,FBXO2
1,11714432,11723384,ENSG00000132879.9,protein_coding,FBXO44
1,11724181,11734411,ENSG00000116663.6,protein_coding,FBXO6
1,11734538,11751707,ENSG00000116670.9,protein_coding,MAD2L2
1,11751786,11785914,ENSG00000162490.6,protein_coding,C1orf187
1,11796141,11814859,ENSG00000177674.10,protein_coding,AGTRAP
1,11821844,11849642,ENSG00000215910.3,protein_coding,C1orf167
1,11845780,11866977,ENSG00000177000.6,protein_coding,MTHFR
1,11866207,11903201,ENSG00000011021.17,protein_coding,CLCN6
1,11905766,11908402,ENSG00000175206.6,protein_coding,NPPA
1,11917521,11918988,ENSG00000120937.7,protein_coding,NPPB
1,11979648,11986485,ENSG00000116685.11,protein_coding,KIAA2013
1,11994262,12035599,ENSG00000083444.10,protein_coding,PLOD1
1,12040238,12073571,ENSG00000116688.10,protein_coding,MFN2
1,12079523,12092102,ENSG00000116691.6,protein_coding,MIIP
1,12123434,12204264,ENSG00000120949.10,protein_coding,TNFRSF8
1,12227060,12269285,ENSG00000028137.11,protein_coding,TNFRSF1B
1,12290124,12572099,ENSG00000048707.8,protein_coding,VPS13D
1,12587766,12588462,ENSG00000229484.1,lincRNA,RP5-888M10.2
1,12627939,12677737,ENSG00000162496.4,protein_coding,DHRS3
1,12704566,12727097,ENSG00000204518.2,protein_coding,AADACL4
1,12776118,12788726,ENSG00000188984.7,protein_coding,AADACL3
1,12806163,12823847,ENSG00000157330.5,protein_coding,C1orf158
1,12834984,12838049,ENSG00000116726.4,protein_coding,PRAMEF12
1,12851546,12856777,ENSG00000116721.9,protein_coding,PRAMEF1
1,12882549,12883022,ENSG00000228338.1,lincRNA,RP5-845O24.8
1,12884468,12891264,ENSG00000204513.4,protein_coding,PRAMEF11
1,12907261,12908578,ENSG00000179172.7,protein_coding,HNRNPCL1
1,12916941,12921764,ENSG00000120952.4,protein_coding,PRAMEF2
1,12939045,12946025,ENSG00000243073.3,protein_coding,PRAMEF4
1,12952727,12958101,ENSG00000187545.5,protein_coding,PRAMEF10
1,12976450,12980569,ENSG00000204510.1,protein_coding,PRAMEF7
1,12998181,13117751,ENSG00000232423.3,protein_coding,PRAMEF6
1,13035543,13038381,ENSG00000204508.3,protein_coding,PRAMEF22
1,13052394,13052998,ENSG00000239810.2,protein_coding,WI2-3308P17.2
1,13146777,13147256,ENSG00000233336.1,lincRNA,RP13-221M14.2
1,13216356,13219581,ENSG00000229571.2,protein_coding,WI2-2994D6.2
1,13328196,13331692,ENSG00000204503.5,protein_coding,PRAMEF3
1,13359819,13369057,ENSG00000204502.2,protein_coding,PRAMEF5
1,13385417,13385903,ENSG00000235800.1,lincRNA,RP11-219C24.9
1,13386646,13390765,ENSG00000182330.6,protein_coding,PRAMEF8
1,13421176,13428191,ENSG00000204501.2,protein_coding,PRAMEF9
1,13447414,13452656,ENSG00000204495.3,protein_coding,PRAMEF13
1,13474053,13477569,ENSG00000204491.1,protein_coding,PRAMEF18
1,13495254,13498260,ENSG00000204488.3,protein_coding,PRAMEF16
1,13516066,13526943,ENSG00000204486.2,protein_coding,PRAMEF21
1,13641973,13648988,ENSG00000157358.6,protein_coding,PRAMEF15
1,13668269,13673511,ENSG00000204481.5,protein_coding,PRAMEF14
1,13694889,13698405,ENSG00000204480.5,protein_coding,PRAMEF19
1,13716088,13719064,ENSG00000204479.3,protein_coding,PRAMEF17
1,13736907,13747803,ENSG00000204478.4,protein_coding,PRAMEF20
1,13801445,13840543,ENSG00000162494.5,protein_coding,LRRC38
1,13909960,13944452,ENSG00000162493.12,protein_coding,PDPN
1,13983806,13987033,ENSG00000237445.1,lincRNA,CTA-520D8.2
1,14026693,14151560,ENSG00000116731.15,protein_coding,PRDM2
1,14219052,14507087,ENSG00000218328.3,protein_coding,C1orf196
1,14548386,14549613,ENSG00000231606.1,lincRNA,RP11-344F13.1
1,14675450,14677518,ENSG00000234593.1,lincRNA,RP4-704D23.1
1,14925200,15444539,ENSG00000189337.10,protein_coding,KAZN
1,15442448,15478960,ENSG00000175147.7,lincRNA,C1orf126
1,15479028,15546974,ENSG00000171729.8,protein_coding,TMEM51
1,15490840,15497813,ENSG00000204464.3,protein_coding,C1orf195
1,15573768,15726858,ENSG00000142621.14,protein_coding,FHAD1
1,15729475,15735929,ENSG00000228140.1,lincRNA,RP3-467K16.4
1,15736391,15756839,ENSG00000142634.7,protein_coding,EFHD2
1,15764935,15775737,ENSG00000162438.7,protein_coding,CTRC
1,15783223,15798586,ENSG00000142615.6,protein_coding,CELA2A
1,15792404,15817895,ENSG00000215704.4,protein_coding,CELA2B
1,15817327,15853029,ENSG00000132906.12,protein_coding,CASP9
1,15853308,15918874,ENSG00000116138.7,protein_coding,DNAJC16
1,15898848,15911605,ENSG00000116771.5,protein_coding,AGMAT
1,15912631,15930121,ENSG00000237301.1,lincRNA,RP4-680D5.2
1,15943995,15995539,ENSG00000197312.7,protein_coding,DDI2
1,15986364,15988217,ENSG00000215695.1,protein_coding,RSC1A1
1,16010827,16061264,ENSG00000116786.7,protein_coding,PLEKHM2
1,16062900,16067891,ENSG00000162461.7,protein_coding,SLC25A34
1,16068917,16074477,ENSG00000162460.6,protein_coding,TMEM82
1,16083102,16113089,ENSG00000162458.8,protein_coding,FBLIM1
1,16160560,16174642,ENSG00000179743.2,lincRNA,RP11-169K16.9
1,16174359,16266955,ENSG00000065526.5,protein_coding,SPEN
1,16268364,16302627,ENSG00000116809.6,protein_coding,ZBTB17
1,16330731,16335302,ENSG00000183888.4,protein_coding,C1orf64
1,16340523,16346089,ENSG00000173641.12,protein_coding,HSPB7
1,16345330,16360545,ENSG00000186510.6,protein_coding,CLCNKA
1,16370247,16383803,ENSG00000184908.12,protein_coding,CLCNKB
1,16384264,16400127,ENSG00000185519.8,protein_coding,FAM131C
1,16450832,16482582,ENSG00000142627.9,protein_coding,EPHA2
1,16524349,16539140,ENSG00000142632.10,protein_coding,ARHGEF19
1,16542404,16543823,ENSG00000237276.3,protein_coding,ANO7L1
1,16555170,16563495,ENSG00000132881.5,protein_coding,RSG1
1,16555170,16556094,ENSG00000204377.2,protein_coding,C1orf134
1,16573334,16678949,ENSG00000037637.6,protein_coding,FBXO42
1,16679070,16724640,ENSG00000055070.11,protein_coding,C1orf144
1,16713612,16763919,ENSG00000187144.7,protein_coding,SPATA21
1,16767167,16786573,ENSG00000157191.13,protein_coding,NECAP2
1,16787443,16794976,ENSG00000226029.1,lincRNA,RP4-798A10.2
1,16841140,16842249,ENSG00000261135.1,lincRNA,RP4-798A10.7
1,16847189,16848303,ENSG00000224174.1,lincRNA,RP4-798A10.4
1,16859035,16861505,ENSG00000241374.1,lincRNA,RP4-798A10.5
1,16860381,16862144,ENSG00000233421.2,lincRNA,RP5-875O13.1
1,16862255,16864669,ENSG00000197511.2,protein_coding,AL355149.1
1,16888818,16940083,ENSG00000219481.3,lincRNA,NBPF1
1,16944751,16971178,ENSG00000215908.4,lincRNA,CROCCP2
1,16999498,17000007,ENSG00000237847.2,protein_coding,AL137798.1
1,17081405,17096732,ENSG00000186715.5,protein_coding,MST1P9
1,17177698,17179624,ENSG00000223643.1,lincRNA,RP11-108M9.1
1,17196254,17198668,ENSG00000196690.2,protein_coding,BX284668.1
1,17215033,17216144,ENSG00000238142.1,lincRNA,RP11-108M9.4
1,17222232,17299459,ENSG00000058453.11,protein_coding,CROCC
1,17300997,17307330,ENSG00000117122.9,protein_coding,MFAP2
1,17312453,17338423,ENSG00000159363.13,protein_coding,ATP13A2
1,17345217,17380665,ENSG00000117118.5,protein_coding,SDHB
1,17393256,17445948,ENSG00000117115.8,protein_coding,PADI2
1,17516278,17524112,ENSG00000204362.4,lincRNA,RP11-380J14.1
1,17531621,17572500,ENSG00000142623.8,protein_coding,PADI1
1,17575593,17610728,ENSG00000142619.4,protein_coding,PADI3
1,17634690,17690499,ENSG00000159339.8,protein_coding,PADI4
1,17733256,17766220,ENSG00000179051.9,protein_coding,RCC2
1,17866330,18024369,ENSG00000074964.11,protein_coding,ARHGEF10L
1,18044182,18076473,ENSG00000236648.1,lincRNA,RP11-473A10.2
1,18081808,18153558,ENSG00000117148.6,protein_coding,ACTL8
1,18392151,18400906,ENSG00000261781.1,lincRNA,RP11-174G17.2
1,18434240,18704977,ENSG00000117154.6,protein_coding,IGSF21
1,18712323,18715008,ENSG00000225387.1,lincRNA,RP11-422P22.1
1,18807424,18812534,ENSG00000179023.6,protein_coding,KLHDC7A
1,18957500,19075360,ENSG00000009709.7,protein_coding,PAX7
1,19166093,19186176,ENSG00000179002.5,protein_coding,TAS1R2
1,19180707,19247615,ENSG00000255275.2,protein_coding,RP13-279N23.2
1,19197926,19229275,ENSG00000159423.11,protein_coding,ALDH4A1
1,19230774,19283180,ENSG00000169991.5,protein_coding,IFFO2
1,19401000,19536770,ENSG00000127481.9,protein_coding,UBR4
1,19542158,19578046,ENSG00000127463.8,protein_coding,KIAA0090
1,19578033,19586622,ENSG00000053372.4,protein_coding,MRTO4
1,19609052,19615744,ENSG00000162482.4,protein_coding,AKR7A3
1,19630459,19638640,ENSG00000053371.8,protein_coding,AKR7A2
1,19638820,19655794,ENSG00000040487.8,protein_coding,PQLC2
1,19665267,19812066,ENSG00000077549.11,protein_coding,CAPZB
1,19923477,19956314,ENSG00000173436.9,protein_coding,MINOS1
1,19967048,19984945,ENSG00000158747.9,protein_coding,NBL1
1,19991780,20006055,ENSG00000158748.3,protein_coding,HTR6
1,20008706,20126438,ENSG00000162542.8,protein_coding,TMCO4
1,20140523,20141771,ENSG00000178828.5,protein_coding,RNF186
1,20209006,20239438,ENSG00000169914.5,protein_coding,OTUD3
1,20246502,20250110,ENSG00000188784.4,protein_coding,PLA2G2E
1,20301925,20306932,ENSG00000188257.6,protein_coding,PLA2G2A
1,20354672,20417683,ENSG00000127472.6,protein_coding,PLA2G5
1,20438432,20446050,ENSG00000117215.10,protein_coding,PLA2G2D
1,20465819,20476879,ENSG00000158786.4,protein_coding,PLA2G2F
1,20487746,20503917,ENSG00000187980.6,protein_coding,PLA2G2C
1,20512578,20522541,ENSG00000162543.5,protein_coding,UBXN10
1,20569588,20571148,ENSG00000228105.1,lincRNA,RP3-340N1.6
1,20617412,20681387,ENSG00000158816.10,protein_coding,VWA5B1
1,20687072,20757727,ENSG00000236963.1,lincRNA,RP4-749H3.1
1,20738797,20739746,ENSG00000226487.1,lincRNA,RP4-749H3.2
1,20808884,20812713,ENSG00000162545.5,protein_coding,CAMK2N1
1,20825943,20834654,ENSG00000090432.5,protein_coding,MUL1
1,20878932,20881512,ENSG00000183114.6,protein_coding,FAM43B
1,20915441,20945401,ENSG00000158825.5,protein_coding,CDA
1,20959948,20978004,ENSG00000158828.5,protein_coding,PINK1
1,20978270,20988000,ENSG00000244038.2,protein_coding,DDOST
1,20990507,21044510,ENSG00000117245.7,protein_coding,KIF17
1,21046225,21059330,ENSG00000189410.7,protein_coding,SH2D5
1,21069154,21113816,ENSG00000127483.12,protein_coding,HP1BP3
1,21132972,21503377,ENSG00000075151.13,protein_coding,EIF4G3
1,21543740,21671997,ENSG00000117298.10,protein_coding,ECE1
1,21742391,21743985,ENSG00000236009.1,lincRNA,RP11-293F5.1
1,21766621,21811498,ENSG00000142794.11,protein_coding,NBPF3
1,21835858,21904905,ENSG00000162551.9,protein_coding,ALPL
1,21922708,21995856,ENSG00000076864.12,protein_coding,RAP1GAP
1,22004791,22110099,ENSG00000090686.11,protein_coding,USP48
1,22138758,22151714,ENSG00000187942.7,protein_coding,LDLRAD2
1,22148738,22263790,ENSG00000142798.11,protein_coding,HSPG2
1,22303514,22325135,ENSG00000219073.3,protein_coding,CELA3B
1,22328149,22339032,ENSG00000142789.14,protein_coding,CELA3A
1,22350487,22351461,ENSG00000228397.1,lincRNA,RP1-224A6.3
1,22351681,22357716,ENSG00000218510.3,lincRNA,LINC00339
1,22379120,22419437,ENSG00000070831.11,protein_coding,CDC42
1,22446461,22470462,ENSG00000162552.8,protein_coding,WNT4
1,22778344,22857650,ENSG00000184677.11,protein_coding,ZBTB40
1,22890057,22930087,ENSG00000070886.6,protein_coding,EPHA8
1,22962999,22966175,ENSG00000173372.11,protein_coding,C1QA
1,22970123,22974603,ENSG00000159189.7,protein_coding,C1QC
1,22979255,22988031,ENSG00000173369.11,protein_coding,C1QB
1,23037332,23241818,ENSG00000133216.11,protein_coding,EPHB2
1,23280239,23291797,ENSG00000215906.3,protein_coding,LACTBL1
1,23337327,23342343,ENSG00000227868.2,protein_coding,RP4-805N21.1
1,23345941,23410182,ENSG00000004487.10,protein_coding,KDM1A
1,23410516,23504301,ENSG00000169641.9,protein_coding,LUZP1
1,23516993,23521222,ENSG00000179546.3,protein_coding,HTR1D
1,23607802,23613245,ENSG00000261326.1,lincRNA,RP5-1057J7.6
1,23630264,23670829,ENSG00000125944.12,protein_coding,HNRNPR
1,23685941,23695935,ENSG00000125945.9,protein_coding,ZNF436
1,23695490,23698332,ENSG00000249087.3,protein_coding,C1orf213
1,23707554,23751233,ENSG00000204219.5,protein_coding,TCEA3
1,23750352,23810750,ENSG00000088280.11,protein_coding,ASAP3
1,23832922,23857712,ENSG00000007968.6,protein_coding,E2F2
1,23875630,23877406,ENSG00000235052.1,lincRNA,RP1-150O5.3
1,23884409,23886285,ENSG00000117318.8,protein_coding,ID3
1,23907985,23967058,ENSG00000197880.4,protein_coding,MDS2
1,24018269,24022915,ENSG00000142676.8,protein_coding,RPL11
1,24069645,24088549,ENSG00000011007.7,protein_coding,TCEB3
1,24104895,24114722,ENSG00000057757.5,protein_coding,PITHD1
1,24117460,24122029,ENSG00000011009.5,protein_coding,LYPLA2
1,24122089,24127271,ENSG00000117308.9,protein_coding,GALE
1,24128375,24165110,ENSG00000117305.8,protein_coding,HMGCL
1,24171567,24194784,ENSG00000179163.10,protein_coding,FUCA1
1,24197016,24285549,ENSG00000188822.6,protein_coding,CNR2
1,24285599,24289952,ENSG00000189266.6,protein_coding,PNRC2
1,24291294,24307417,ENSG00000188529.9,protein_coding,SRSF10
1,24382525,24438665,ENSG00000142661.12,protein_coding,MYOM3
1,24446261,24469611,ENSG00000142677.3,protein_coding,IL22RA1
1,24480647,24514449,ENSG00000185436.7,protein_coding,IL28RA
1,24526730,24538183,ENSG00000230023.2,lincRNA,RP11-10N16.2
1,24645812,24690972,ENSG00000158055.11,protein_coding,GRHL3
